code,municipality,county,constituency,constituency_name,name
01140101,0114,01,02,Stockholms län,Övra Runby
01140102,0114,01,02,Stockholms län,Mälaren
01140120,0114,01,02,Stockholms län,Edssjön
01140121,0114,01,02,Stockholms län,Nedra Runby
01140126,0114,01,02,Stockholms län,Prästgårdsmarken
01140203,0114,01,02,Stockholms län,Folkparken
01140204,0114,01,02,Stockholms län,Fysingen
01140206,0114,01,02,Stockholms län,Sigma
01140207,0114,01,02,Stockholms län,Odenslunda Södra
01140209,0114,01,02,Stockholms län,Smedby Norra
01140210,0114,01,02,Stockholms län,Väsbyskogen Västra
01140211,0114,01,02,Stockholms län,Skälby
01140212,0114,01,02,Stockholms län,Smedby Södra
01140218,0114,01,02,Stockholms län,Korpkulla
01140219,0114,01,02,Stockholms län,Ekebo
01140223,0114,01,02,Stockholms län,Brunnby
01140224,0114,01,02,Stockholms län,Apoteksskogen
01140225,0114,01,02,Stockholms län,Väsbyskogen Östra
01140231,0114,01,02,Stockholms län,Vilunda
01140232,0114,01,02,Stockholms län,Fyrklövern Norra
01140233,0114,01,02,Stockholms län,Fyrklövern Södra
01140313,0114,01,02,Stockholms län,Odenslunda Norra
01140314,0114,01,02,Stockholms län,Norra Bollstanäs
01140315,0114,01,02,Stockholms län,Sjukyrkoberget
01140316,0114,01,02,Stockholms län,Grimstaby
01140317,0114,01,02,Stockholms län,Gamla Bollstanäs
01140318,0114,01,02,Stockholms län,Frestaby
01140327,0114,01,02,Stockholms län,Östra Frestaby-Ekeby
01150101,0115,01,02,Stockholms län,1 Vallentuna västra
01150102,0115,01,02,Stockholms län,2 Markim-Orkesta
01150103,0115,01,02,Stockholms län,3 Hammarbacken N
01150104,0115,01,02,Stockholms län,4 Hammarbacken S
01150105,0115,01,02,Stockholms län,5 Ormsta N
01150106,0115,01,02,Stockholms län,6 Vallentuna nordöstra
01150107,0115,01,02,Stockholms län,7 Norrgården-Sörgården
01150108,0115,01,02,Stockholms län,8 Vallentuna C
01150109,0115,01,02,Stockholms län,9 Ormsta S
01150110,0115,01,02,Stockholms län,10 Lovisedal
01150111,0115,01,02,Stockholms län,11 Karlberg
01150112,0115,01,02,Stockholms län,12 Vada-Angarn-Össeby
01150113,0115,01,02,Stockholms län,13 Bällsta S
01150114,0115,01,02,Stockholms län,14 Bällsta V
01150115,0115,01,02,Stockholms län,15 Vallentuna sydöstra
01150116,0115,01,02,Stockholms län,16 Garn
01150117,0115,01,02,Stockholms län,17 Kårsta-Frösunda
01170001,0117,01,02,Stockholms län,Berga NV
