constituency,party,fixed_seats,adjustment_seats,seats
01,C,3,0,3
01,KD,1,0,1
01,L,2,1,3
01,M,6,0,6
01,MP,3,1,4
01,S,8,1,9
01,SD,2,1,3
01,V,4,0,4
01,ÖVR,0,0,0
02,C,3,0,3
02,KD,2,0,2
02,L,3,1,4
02,M,10,0,10
02,MP,2,1,3
02,S,11,0,11
02,SD,6,0,6
02,V,4,0,4
02,ÖVR,0,0,0
03,C,1,0,1
03,KD,1,0,1
03,L,1,0,1
03,M,2,0,2
03,MP,1,0,1
03,S,3,1,4
03,SD,2,0,2
03,V,1,0,1
03,ÖVR,0,0,0
04,C,0,1,1
04,KD,1,0,1
04,L,0,0,0
04,M,2,0,2
04,MP,0,1,1
04,S,3,0,3
04,SD,2,0,2
04,V,1,0,1
04,ÖVR,0,0,0
05,C,1,0,1
05,KD,1,0,1
05,L,1,0,1
05,M,3,0,3
05,MP,1,0,1
05,S,4,0,4
05,SD,2,1,3
05,V,1,0,1
05,ÖVR,0,0,0
06,C,1,0,1
06,KD,1,0,1
06,L,0,1,1
06,M,2,0,2
06,MP,0,1,1
06,S,3,0,3
06,SD,3,0,3
06,V,1,0,1
06,ÖVR,0,0,0
07,C,0,0,0
07,KD,1,0,1
07,L,0,0,0
07,M,2,0,2
07,MP,0,0,0
07,S,2,0,2
07,SD,1,0,1
07,V,0,0,0
07,ÖVR,0,0,0
08,C,0,0,0
08,KD,1,0,1
08,L,0,0,0
08,M,2,0,2
08,MP,0,0,0
08,S,2,0,2
08,SD,2,0,2
08,V,0,0,0
08,ÖVR,0,0,0
09,C,0,0,0
09,KD,0,0,0
09,L,0,0,0
09,M,1,0,1
09,MP,0,0,0
09,S,1,0,1
09,SD,0,0,0
09,V,0,0,0
09,ÖVR,0,0,0
10,C,0,0,0
10,KD,0,0,0
10,L,0,0,0
10,M,1,0,1
10,MP,0,0,0
10,S,2,0,2
10,SD,2,0,2
10,V,0,0,0
10,ÖVR,0,0,0
11,C,1,0,1
11,KD,0,0,0
11,L,0,1,1
11,M,2,0,2
11,MP,1,0,1
11,S,3,0,3
11,SD,1,0,1
11,V,2,0,2
11,ÖVR,0,0,0
12,C,0,1,1
12,KD,0,0,0
12,L,0,1,1
12,M,2,0,2
12,MP,0,1,1
12,S,3,0,3
12,SD,3,0,3
12,V,1,0,1
12,ÖVR,0,0,0
13,C,1,0,1
13,KD,1,0,1
13,L,1,0,1
13,M,3,0,3
13,MP,1,0,1
13,S,2,1,3
13,SD,2,1,3
13,V,1,0,1
13,ÖVR,0,0,0
14,C,0,1,1
14,KD,1,0,1
14,L,0,1,1
14,M,2,0,2
14,MP,0,0,0
14,S,3,0,3
14,SD,3,0,3
14,V,1,0,1
14,ÖVR,0,0,0
